"rt","stimulus","key_press","stim","dim","respDir","comp","corrResp","trial_type","trial_index","time_elapsed","internal_node_id","date","vpNum","age","gender","handedness","corrCode","blockNum","trialNum"
"357","<div class=""right""></div><div class=""right""></div><div class=""right""></div>","77","flanker","ver","right","comp","M","single-stim","4","14084","0.0-3.0-1.0","Fri Jun 09 2017 10:39:52 GMT+0200 (CEST)","1496997588571","22","female","right","1","1","1"
"367","<div class=""right""></div><div class=""left""></div><div class=""right""></div>","67","flanker","ver","left","incomp","C","single-stim","7","16465","0.0-3.0-4.0","Fri Jun 09 2017 10:39:52 GMT+0200 (CEST)","1496997588571","22","female","right","1","1","2"
"387","<div class=""left"" style=""float: left""></div><div class=""left"" style=""float: left""></div><div class=""left"" style=""float: right""></div>","67","flanker","hor","left","comp","C","single-stim","10","18864","0.0-3.0-7.0","Fri Jun 09 2017 10:39:52 GMT+0200 (CEST)","1496997588571","22","female","right","1","1","3"
"364","<div class=""left""  style=""float: left""></div><div class=""right"" style=""float: left""></div><div class=""left""  style=""float: right""></div>","77","flanker","hor","right","incomp","M","single-stim","13","21241","0.0-3.0-10.0","Fri Jun 09 2017 10:39:52 GMT+0200 (CEST)","1496997588571","22","female","right","1","1","4"
"441","<div class=""left""></div><div class=""right""></div><div class=""left""></div>","77","flanker","ver","right","incomp","M","single-stim","16","23692","0.0-3.0-13.0","Fri Jun 09 2017 10:39:52 GMT+0200 (CEST)","1496997588571","22","female","right","1","1","5"
"516","<div class=""right"" style=""float: left""></div><div class=""right"" style=""float: left""></div><div class=""right"" style=""float: right""></div>","77","flanker","hor","right","comp","M","single-stim","19","26217","0.0-3.0-16.0","Fri Jun 09 2017 10:39:52 GMT+0200 (CEST)","1496997588571","22","female","right","1","1","6"
"382","<div class=""left""  style=""float: left""></div><div class=""right"" style=""float: left""></div><div class=""left""  style=""float: right""></div>","77","flanker","hor","right","incomp","M","single-stim","22","28610","0.0-3.0-19.0","Fri Jun 09 2017 10:39:52 GMT+0200 (CEST)","1496997588571","22","female","right","1","1","7"
"382","<div class=""left"" style=""float: left""></div><div class=""left"" style=""float: left""></div><div class=""left"" style=""float: right""></div>","67","flanker","hor","left","comp","C","single-stim","25","31002","0.0-3.0-22.0","Fri Jun 09 2017 10:39:52 GMT+0200 (CEST)","1496997588571","22","female","right","1","1","8"
"309","<div class=""left""></div><div class=""right""></div><div class=""left""></div>","77","flanker","ver","right","incomp","M","single-stim","28","33322","0.0-3.0-25.0","Fri Jun 09 2017 10:39:52 GMT+0200 (CEST)","1496997588571","22","female","right","1","1","9"
"403","<div class=""left""></div><div class=""left""></div><div class=""left""></div>","67","flanker","ver","left","comp","C","single-stim","31","35738","0.0-3.0-28.0","Fri Jun 09 2017 10:39:52 GMT+0200 (CEST)","1496997588571","22","female","right","1","1","10"
