"rt","stimulus","key_press","stim","task","comp","colour","side","font","corrResp","trial_type","trial_index","time_elapsed","internal_node_id","corrCode","blockNum","trialNum"
"596","<h1 style=""color:red; position: relative; left: -100px"">X</h1>","67","simonSnarc","simon","comp","red","left","normal","C","single-stim","2","8978","0.0-1.0-1.0","1","1","1"
"1208","<h1 style=""color:black""> <i>9</i> </h1>","67","simonSnarc","snarc","incomp","black","middle","italic","C","single-stim","5","12200","0.0-1.0-4.0","1","1","2"
"769","<h1 style=""color:green; position:relative; left: 100px"">X</h1>","77","simonSnarc","simon","comp","green","right","normal","M","single-stim","8","14980","0.0-1.0-7.0","1","1","3"
"486","<h1 style=""color:red; position: relative; left: 100px"">X</h1>","67","simonSnarc","simon","incomp","red","right","normal","C","single-stim","11","17478","0.0-1.0-10.0","1","1","4"
"561","<h1 style=""color:black""> <i>8</i> </h1>","77","simonSnarc","snarc","incomp","black","middle","italic","C","single-stim","14","20053","0.0-1.0-13.0","2","1","5"
"1012","<h1 style=""color:black"">1</h1>","77","simonSnarc","snarc","incomp","black","middle","normal","M","single-stim","17","23075","0.0-1.0-16.0","1","1","6"
"641","<h1 style=""color:black"">9</h1>","77","simonSnarc","snarc","comp","black","middle","normal","M","single-stim","20","25726","0.0-1.0-19.0","1","1","7"
"481","<h1 style=""color:green; position: relative; left: -100px"">X</h1>","67","simonSnarc","simon","incomp","green","left","normal","M","single-stim","23","28220","0.0-1.0-22.0","2","1","8"
"772","<h1 style=""color:black""> <i>2</i> </h1>","67","simonSnarc","snarc","comp","black","middle","italic","C","single-stim","26","31003","0.0-1.0-25.0","1","1","9"
"505","<h1 style=""color:black""> <i>1</i> </h1>","77","simonSnarc","snarc","comp","black","middle","italic","C","single-stim","29","33516","0.0-1.0-28.0","2","1","10"
"736","<h1 style=""color:black"">2</h1>","67","simonSnarc","snarc","incomp","black","middle","normal","M","single-stim","32","36262","0.0-1.0-31.0","2","1","11"
"413","<h1 style=""color:green; position: relative; left: -100px"">X</h1>","77","simonSnarc","simon","incomp","green","left","normal","M","single-stim","35","38685","0.0-1.0-34.0","1","1","12"
