"rt","stimulus","key_press","stim","task","respDir","comp","corrResp","trial_type","trial_index","time_elapsed","internal_node_id","date","vpNum","age","gender","handedness","corrCode","blockNum","trialNum"
"568","<h1>jetzt rechts</h1>","77","negFlank","affneg","right","comp","M","single-stim","4","13533","0.0-3.0-1.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","1"
"444","<div class=""left"" style=""float: left""></div><div class=""left"" style=""float: left""></div><div class=""left"" style=""float: right""></div>","67","negFlank","flanker","left","comp","C","single-stim","7","15991","0.0-3.0-4.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","2"
"405","<div class=""left"" style=""float: left""></div><div class=""left"" style=""float: left""></div><div class=""left"" style=""float: right""></div>","67","negFlank","flanker","left","comp","C","single-stim","10","18407","0.0-3.0-7.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","3"
"924","<h1>nicht links</h1>","77","negFlank","affneg","right","incomp","M","single-stim","13","21344","0.0-3.0-10.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","4"
"854","<h1>nicht rechts</h1>","67","negFlank","affneg","left","incomp","C","single-stim","16","24213","0.0-3.0-13.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","5"
"425","<div class=""left""  style=""float: left""></div><div class=""right"" style=""float: left""></div><div class=""left""  style=""float: right""></div>","77","negFlank","flanker","left","incomp","M","single-stim","19","26651","0.0-3.0-16.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","6"
"474","<div class=""right"" style=""float: left""></div><div class=""left""  style=""float: left""></div><div class=""right"" style=""float: right""></div>","67","negFlank","flanker","left","incomp","C","single-stim","22","29137","0.0-3.0-19.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","7"
"760","<h1>nicht rechts</h1>","67","negFlank","affneg","left","incomp","C","single-stim","25","31910","0.0-3.0-22.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","8"
"831","<h1>nicht links</h1>","77","negFlank","affneg","right","incomp","M","single-stim","28","34752","0.0-3.0-25.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","9"
"419","<div class=""right"" style=""float: left""></div><div class=""right"" style=""float: left""></div><div class=""right"" style=""float: right""></div>","77","negFlank","flanker","left","comp","M","single-stim","31","37182","0.0-3.0-28.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","10"
"647","<h1>jetzt rechts</h1>","77","negFlank","affneg","right","comp","M","single-stim","34","39841","0.0-3.0-31.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","11"
"367","<div class=""right"" style=""float: left""></div><div class=""left""  style=""float: left""></div><div class=""right"" style=""float: right""></div>","67","negFlank","flanker","left","incomp","C","single-stim","37","42220","0.0-3.0-34.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","12"
"411","<div class=""left""  style=""float: left""></div><div class=""right"" style=""float: left""></div><div class=""left""  style=""float: right""></div>","77","negFlank","flanker","left","incomp","M","single-stim","40","44641","0.0-3.0-37.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","13"
"676","<h1>jetzt links</h1>","67","negFlank","affneg","left","comp","C","single-stim","43","47328","0.0-3.0-40.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","14"
"476","<h1>jetzt links</h1>","67","negFlank","affneg","left","comp","C","single-stim","46","49677","0.0-3.0-43.0","Fri Jun 09 2017 11:59:25 GMT+0200 (CEST)","1497002362662","22","female","right","1","1","15"
