"rt","stimulus","key_press","stim","task","comp","corrResp","trial_type","trial_index","time_elapsed","internal_node_id","corrCode","blockNum","trialNum"
"550","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","2","9220","0.0-1.0-1.0","1","1","1"
"634","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","5","11871","0.0-1.0-4.0","1","1","2"
"745","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","8","14628","0.0-1.0-7.0","1","1","3"
"502","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","11","17147","0.0-1.0-10.0","1","1","4"
"566","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","14","19721","0.0-1.0-13.0","1","1","5"
"628","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","17","22360","0.0-1.0-16.0","1","1","6"
"797","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","20","25169","0.0-1.0-19.0","1","1","7"
"519","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","23","27698","0.0-1.0-22.0","1","1","8"
"405","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","26","30115","0.0-1.0-25.0","1","1","9"
"369","<h1>nicht rechts</h1>","77","negStroop","affneg","incomp","C","single-stim","29","32494","0.0-1.0-28.0","2","1","10"
"851","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","32","35355","0.0-1.0-31.0","1","1","11"
"651","<h1 style=""color:red"">blau</h1>","67","negStroop","stroop","incomp","M","single-stim","35","38016","0.0-1.0-34.0","2","1","12"
"469","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","38","40495","0.0-1.0-37.0","1","1","13"
"443","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","41","42947","0.0-1.0-40.0","1","1","14"
"461","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","44","45419","0.0-1.0-43.0","1","1","15"
"540","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","47","47971","0.0-1.0-46.0","1","1","16"
"487","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","52","52767","0.0-4.0-1.0","1","2","17"
"741","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","55","54516","0.0-4.0-4.0","1","2","18"
"564","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","58","56089","0.0-4.0-7.0","1","2","19"
"433","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","61","57531","0.0-4.0-10.0","1","2","20"
"740","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","64","59281","0.0-4.0-13.0","1","2","21"
"486","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","67","60777","0.0-4.0-16.0","1","2","22"
"552","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","70","62338","0.0-4.0-19.0","1","2","23"
"494","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","73","63839","0.0-4.0-22.0","1","2","24"
"537","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","76","65386","0.0-4.0-25.0","1","2","25"
"607","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","79","67002","0.0-4.0-28.0","1","2","26"
"529","<h1 style=""color:red"">rot</h1>","67","negStroop","stroop","comp","M","single-stim","82","68542","0.0-4.0-31.0","2","2","27"
"627","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","85","70181","0.0-4.0-34.0","1","2","28"
"504","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","88","71694","0.0-4.0-37.0","1","2","29"
"688","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","91","73396","0.0-4.0-40.0","1","2","30"
"504","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","94","74911","0.0-4.0-43.0","1","2","31"
"640","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","97","76562","0.0-4.0-46.0","1","2","32"
"527","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","100","78098","0.0-4.0-49.0","1","2","33"
"603","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","103","79711","0.0-4.0-52.0","1","2","34"
"545","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","106","81264","0.0-4.0-55.0","1","2","35"
"553","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","109","82826","0.0-4.0-58.0","1","2","36"
"574","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","112","84408","0.0-4.0-61.0","1","2","37"
"610","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","115","86026","0.0-4.0-64.0","1","2","38"
"454","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","118","87488","0.0-4.0-67.0","1","2","39"
"910","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","121","89408","0.0-4.0-70.0","1","2","40"
"582","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","124","90999","0.0-4.0-73.0","1","2","41"
"449","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","127","92457","0.0-4.0-76.0","1","2","42"
"609","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","130","94075","0.0-4.0-79.0","1","2","43"
"666","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","133","95749","0.0-4.0-82.0","1","2","44"
"605","<h1>nicht links</h1>","67","negStroop","affneg","incomp","M","single-stim","136","97363","0.0-4.0-85.0","2","2","45"
"551","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","139","98923","0.0-4.0-88.0","1","2","46"
"623","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","142","100554","0.0-4.0-91.0","1","2","47"
"528","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","145","102091","0.0-4.0-94.0","1","2","48"
"647","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","148","103747","0.0-4.0-97.0","1","2","49"
"856","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","151","105614","0.0-4.0-100.0","1","2","50"
"484","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","154","107107","0.0-4.0-103.0","1","2","51"
"437","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","157","108551","0.0-4.0-106.0","1","2","52"
"662","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","160","110221","0.0-4.0-109.0","1","2","53"
"731","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","163","111961","0.0-4.0-112.0","1","2","54"
"797","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","166","113767","0.0-4.0-115.0","1","2","55"
"968","<h1 style=""color:blue"">rot</h1>","77","negStroop","stroop","incomp","C","single-stim","169","115740","0.0-4.0-118.0","2","2","56"
"575","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","172","117322","0.0-4.0-121.0","1","2","57"
"489","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","175","118818","0.0-4.0-124.0","1","2","58"
"624","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","178","120450","0.0-4.0-127.0","1","2","59"
"498","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","181","121955","0.0-4.0-130.0","1","2","60"
"636","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","184","123600","0.0-4.0-133.0","1","2","61"
"926","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","187","125536","0.0-4.0-136.0","1","2","62"
"683","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","190","127227","0.0-4.0-139.0","1","2","63"
"664","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","193","128899","0.0-4.0-142.0","1","2","64"
"476","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","196","130383","0.0-4.0-145.0","1","2","65"
"454","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","199","131845","0.0-4.0-148.0","1","2","66"
"517","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","202","133371","0.0-4.0-151.0","1","2","67"
"548","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","205","134927","0.0-4.0-154.0","1","2","68"
"491","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","208","136426","0.0-4.0-157.0","1","2","69"
"591","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","211","138024","0.0-4.0-160.0","1","2","70"
"585","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","214","139617","0.0-4.0-163.0","1","2","71"
"487","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","217","141112","0.0-4.0-166.0","1","2","72"
"507","<h1 style=""color:red"">blau</h1>","67","negStroop","stroop","incomp","M","single-stim","220","142627","0.0-4.0-169.0","2","2","73"
"825","<h1>jetzt links</h1>","77","negStroop","affneg","comp","C","single-stim","223","144461","0.0-4.0-172.0","2","2","74"
"808","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","226","146277","0.0-4.0-175.0","1","2","75"
"638","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","229","147922","0.0-4.0-178.0","1","2","76"
"696","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","232","149627","0.0-4.0-181.0","1","2","77"
"614","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","235","151255","0.0-4.0-184.0","1","2","78"
"550","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","238","152812","0.0-4.0-187.0","1","2","79"
"561","<h1>jetzt rechts</h1>","67","negStroop","affneg","comp","M","single-stim","241","154380","0.0-4.0-190.0","2","2","80"
"734","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","244","156122","0.0-4.0-193.0","1","2","81"
"703","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","247","157834","0.0-4.0-196.0","1","2","82"
"481","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","250","159324","0.0-4.0-199.0","1","2","83"
"457","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","253","160789","0.0-4.0-202.0","1","2","84"
"543","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","256","162340","0.0-4.0-205.0","1","2","85"
"733","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","259","164081","0.0-4.0-208.0","1","2","86"
"482","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","262","165571","0.0-4.0-211.0","1","2","87"
"363","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","265","166942","0.0-4.0-214.0","1","2","88"
"400","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","268","168350","0.0-4.0-217.0","1","2","89"
"605","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","271","169964","0.0-4.0-220.0","1","2","90"
"518","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","274","171490","0.0-4.0-223.0","1","2","91"
"512","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","277","173011","0.0-4.0-226.0","1","2","92"
"435","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","280","174453","0.0-4.0-229.0","1","2","93"
"337","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","283","175798","0.0-4.0-232.0","1","2","94"
"523","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","286","177330","0.0-4.0-235.0","1","2","95"
"607","<h1 style=""color:red"">blau</h1>","67","negStroop","stroop","incomp","M","single-stim","289","178943","0.0-4.0-238.0","2","2","96"
"638","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","292","180589","0.0-4.0-241.0","1","2","97"
"547","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","295","182144","0.0-4.0-244.0","1","2","98"
"467","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","298","183619","0.0-4.0-247.0","1","2","99"
"680","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","301","185308","0.0-4.0-250.0","1","2","100"
"657","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","304","186973","0.0-4.0-253.0","1","2","101"
"655","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","307","188635","0.0-4.0-256.0","1","2","102"
"545","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","310","190189","0.0-4.0-259.0","1","2","103"
"759","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","313","191955","0.0-4.0-262.0","1","2","104"
"593","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","316","193556","0.0-4.0-265.0","1","2","105"
"724","<h1 style=""color:blue"">rot</h1>","77","negStroop","stroop","incomp","C","single-stim","319","195288","0.0-4.0-268.0","2","2","106"
"639","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","322","196935","0.0-4.0-271.0","1","2","107"
"878","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","325","198821","0.0-4.0-274.0","1","2","108"
"703","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","328","200531","0.0-4.0-277.0","1","2","109"
"734","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","331","202273","0.0-4.0-280.0","1","2","110"
"564","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","334","203844","0.0-4.0-283.0","1","2","111"
"498","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","337","205349","0.0-4.0-286.0","1","2","112"
"498","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","342","208970","0.0-7.0-1.0","1","3","113"
"598","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","345","210574","0.0-7.0-4.0","1","3","114"
"456","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","348","212041","0.0-7.0-7.0","1","3","115"
"457","<h1 style=""color:red"">blau</h1>","77","negStroop","stroop","incomp","M","single-stim","351","213506","0.0-7.0-10.0","1","3","116"
"477","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","354","214993","0.0-7.0-13.0","1","3","117"
"427","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","357","216428","0.0-7.0-16.0","1","3","118"
"596","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","360","218032","0.0-7.0-19.0","1","3","119"
"593","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","363","219643","0.0-7.0-22.0","1","3","120"
"518","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","366","221170","0.0-7.0-25.0","1","3","121"
"533","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","369","222711","0.0-7.0-28.0","1","3","122"
"720","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","372","224441","0.0-7.0-31.0","1","3","123"
"530","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","375","225979","0.0-7.0-34.0","1","3","124"
"584","<h1>nicht links</h1>","67","negStroop","affneg","incomp","M","single-stim","378","227572","0.0-7.0-37.0","2","3","125"
"493","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","381","229075","0.0-7.0-40.0","1","3","126"
"512","<h1 style=""color:blue"">blau</h1>","67","negStroop","stroop","comp","C","single-stim","384","230596","0.0-7.0-43.0","1","3","127"
"541","<h1 style=""color:blue"">rot</h1>","67","negStroop","stroop","incomp","C","single-stim","387","232148","0.0-7.0-46.0","1","3","128"
"648","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","390","233803","0.0-7.0-49.0","1","3","129"
"613","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","393","235424","0.0-7.0-52.0","1","3","130"
"725","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","396","237156","0.0-7.0-55.0","1","3","131"
"536","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","399","238700","0.0-7.0-58.0","1","3","132"
"463","<h1>jetzt rechts</h1>","77","negStroop","affneg","comp","M","single-stim","402","240171","0.0-7.0-61.0","1","3","133"
"832","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","405","242010","0.0-7.0-64.0","1","3","134"
"712","<h1>nicht rechts</h1>","67","negStroop","affneg","incomp","C","single-stim","408","243732","0.0-7.0-67.0","1","3","135"
"519","<h1>nicht links</h1>","67","negStroop","affneg","incomp","M","single-stim","411","245262","0.0-7.0-70.0","2","3","136"
"668","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","414","246939","0.0-7.0-73.0","1","3","137"
"920","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","417","248866","0.0-7.0-76.0","1","3","138"
"492","<h1 style=""color:red"">rot</h1>","77","negStroop","stroop","comp","M","single-stim","420","250368","0.0-7.0-79.0","1","3","139"
"800","<h1>jetzt links</h1>","67","negStroop","affneg","comp","C","single-stim","423","252174","0.0-7.0-82.0","1","3","140"
"634","<h1>nicht links</h1>","77","negStroop","affneg","incomp","M","single-stim","426","253817","0.0-7.0-85.0","1","3","141"
